Trace,Baseline,CPU,NumCPUs,HomogeneousMix,MPKI,IPC,LoadMisses,RFOMisses
sphinx3_2520B.trace.gz,lru,3,4,False,2.346217985922692,0.984404,1077125,95984
mcf_46B.trace.gz,lru,0,4,False,67.6876335938742,0.0948659,33203582,640235
sphinx3_2520B.trace.gz,lru,1,4,False,5.450668,0.739446,2552099,173235
pr.trace.gz,lru,2,4,False,13.419749973160501,0.220458,6630037,79838
xalancbmk_99B.trace.gz,lru,3,4,False,28.85118182689291,0.196488,14381192,44399
xalancbmk_99B.trace.gz,lru,0,4,False,29.266541941466915,0.178707,14588862,44409
omnetpp_340B.trace.gz,lru,1,4,False,17.81972792872109,0.247615,7638063,1271801
sphinx3_2520B.trace.gz,lru,2,4,False,7.579086,0.600625,3509339,280204
mcf_46B.trace.gz,lru,3,4,False,67.638014,0.0913958,33179278,639729
omnetpp_340B.trace.gz,lru,0,4,False,17.20423189677461,0.252175,7365583,1236533
xalancbmk_99B.trace.gz,lru,1,4,False,28.442999886228,0.177857,14179021,42479
astar_313B.trace.gz,lru,2,4,False,41.975433748147395,0.114118,11080827,9906890
omnetpp_340B.trace.gz,lru,3,4,False,17.210093965579812,0.252176,7368408,1236639
cc.trace.gz,lru,0,4,False,6.17727,0.389183,3087285,1350
